Unnamed: 0,Made Donation in March 2007
659,1104.2901611328125
276,653.5762939453125
263,92.24542999267578
303,1012.9572143554688
83,1099.896728515625
500,1919.19287109375
530,183.06619262695312
244,99.02185821533203
249,214.33718872070312
728,385.8558044433594
129,280.8480224609375
534,656.5725708007812
317,1021.2510375976562
401,92.24542999267578
696,371.03125
192,96.98893737792969
176,555.4042358398438
571,1286.73291015625
139,1305.910888671875
423,371.5033264160156
563,643.5753784179688
56,555.2596435546875
528,643.8837280273438
101,92.24542999267578
467,282.8792724609375
382,1296.875
466,184.29782104492188
294,99.02185821533203
512,277.3361511230469
659,1104.2901611328125
389,1296.4847412109375
487,668.7283325195312
701,90.89014434814453
419,652.69140625
536,193.7012481689453
240,647.0872802734375
508,192.92083740234375
515,99.02185821533203
283,553.2476196289062
650,92.24542999267578
65,182.28578186035156
228,559.942138671875
741,573.1641235351562
297,461.0716247558594
464,285.54974365234375
63,90.89014434814453
231,367.5820617675781
28,286.699462890625
248,99.02185821533203
357,466.3289794921875
300,1287.3687744140625
726,2203.0703125
680,374.0710144042969
520,556.409423828125
254,200.2529296875
582,744.5189819335938
143,657.3721923828125
98,457.54052734375
1,372.8377380371094
221,1380.2015380859375
352,92.24542999267578
64,195.57040405273438
138,1386.11572265625
745,1202.00927734375
64,195.57040405273438
688,194.35968017578125
623,384.19219970703125
289,1478.4364013671875
174,923.1625366210938
690,92.24542999267578
105,467.1703796386719
427,374.8514404296875
48,115.2853012084961
14,92.24542999267578
657,385.91851806640625
301,657.1474609375
455,284.68743896484375
579,1021.72314453125
722,377.7257995605469
98,457.54052734375
491,115.2853012084961
303,1012.9572143554688
466,184.29782104492188
65,182.28578186035156
300,1287.3687744140625
9,103.76536560058594
622,96.98893737792969
323,194.07225036621094
289,1478.4364013671875
568,370.2508239746094
290,92.24542999267578
156,196.86302185058594
464,285.54974365234375
426,191.19790649414062
306,1015.483154296875
4,1014.1069946289062
12,460.98974609375
187,1109.526611328125
406,752.6506958007812
96,183.06619262695312
509,90.89014434814453
733,564.6021118164062
548,289.43096923828125
478,465.60955810546875
501,189.24685668945312
127,365.9393310546875
199,1481.2689208984375
299,921.786376953125
162,92.24542999267578
235,283.4558410644531
23,188.46644592285156
473,92.24542999267578
487,668.7283325195312
683,734.88916015625
303,1012.9572143554688
309,293.9480285644531
569,105.12065124511719
34,644.068359375
686,1464.3294677734375
84,187.7470245361328
733,564.6021118164062
537,825.1350708007812
181,376.0621643066406
453,2381.898681640625
67,922.648681640625
161,1475.90869140625
307,558.4214477539062
703,187.8096923828125
181,376.0621643066406
246,189.84262084960938
316,461.4618225097656
278,96.98893737792969
346,279.7801818847656
545,92.24542999267578
419,652.69140625
694,183.06619262695312
622,96.98893737792969
663,297.31365966796875
262,1189.3621826171875
461,1117.5120849609375
373,3109.532958984375
233,92.24542999267578
466,184.29782104492188
207,657.3721923828125
263,92.24542999267578
16,105.12065124511719
513,290.21136474609375
449,463.86407470703125
429,297.97210693359375
701,90.89014434814453
632,200.33480834960938
529,823.2048950195312
245,829.8785400390625
344,561.3793334960938
353,282.8809509277344
241,1386.279541015625
633,100.37714385986328
624,90.89014434814453
726,2203.0703125
189,96.98893737792969
138,1386.11572265625
402,99.02185821533203
511,551.8104858398438
590,824.2117919921875
334,286.9033508300781
447,291.7914123535156
119,184.29782104492188
389,1296.4847412109375
644,92.24542999267578
423,371.5033264160156
131,105.12065124511719
405,116.64058685302734
82,92.24542999267578
643,3751.314208984375
156,196.86302185058594
617,290.2932434082031
574,274.543701171875
272,1116.6497802734375
613,199.594482421875
545,92.24542999267578
685,99.02185821533203
570,466.59552001953125
537,825.1350708007812
691,100.37714385986328
85,1473.52734375
483,189.84262084960938
455,284.68743896484375
93,96.98893737792969
744,90.89014434814453
33,189.84262084960938
321,2105.823486328125
523,280.99090576171875
426,191.19790649414062
196,194.15414428710938
301,657.1474609375
103,100.37714385986328
224,195.16099548339844
454,747.4768676757812
585,197.3785858154297
154,1017.6990966796875
